Moisture results,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
full dry,740.10931,344.58173,1020.08191,453.75836,720.41901,1233.10034
21 spray,1950.7113,645/73676,1256.15552,323.10724,754.38055,678.17255
42 spray,661.43933,498.46344,1727.43164,726.79572,1305.72423,2054.08032
63 spreay,928.76465,585.76465,2284.07764,623.52661,1395.31506,2455.1149
full wet,942.5282,629.68774,2329.37573,728.36041,1310.77234,2063.86157
full dry,619.43103,441.81985,1299.71155,690.02563,1000.06006,1263.09644
21 spray,745.45587,512.62433,1669.06653,815.06653,1232.1038,1698.03979
42 spray,966.19025,508.84808,1684.7467,614.92084,1073.76392,1699.34399
63 spreay,791.28308,450.20453,1624.6394,739.31323,1127.23535,1589.79297
full wet,1183.10559,649.513,2130.76025,768.25989,1208.16504,1848.67236
full dry,656.09277,525.84119,1776.21436,866.83496,1429.27661,2039.73438
21 spray,610.26562,451.26047,1938.2428,512.43402,1048.47339,1979.74219
42 spray,694.28217,497.51938,1772.72986,650.12622,1053.53149,1613.26819
63 spreay,639.28949,483.35849,1803.21912,722.88403,1283.31409,2031.9093
full wet,1031.11206,591.92535,2077.62207,807.37695,1379.41809,1977.78589
full dry,666.02203,516.40057,1734.40063,734.61914,1181.42932,1622.39746
21 spray,858.49628,411.60995,285.72748,129.08643,138.73666,201.4955
42 spray,805.03119,475.806,1608.95923,668.12006,1205.99731,1975.82971
63 spreay,718.72333,463.53323,1423.99292,657.94965,1041.24756,1460.02722
full wet,1500.07715,479.58224,1364.17444,637.60875,1095.44153,1577.40332
full dry,977.64703,385.1763,817.98199,387.25931,471.84915,670.34747
21 spray,751.56616,478.63818,1649.90186,634.47937,1115.67395,1818.0217
42 spray,1749.83545,761.85608,2052.35962,892.35222,1342.56616,1748.25061
63 spreay,750.80237,400.28125,1231.76416,484.26971,688.62818,984.00232
full wet,672.89612,400.28125,2142.95605,993.57434,1719.03394,1722.81909
